wep,mode,cut_by,day_obs,intra,extra,target,focusz_intra,focusz_extra,peak_extra,fit_success,nfev,chi_square,fwhm,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
ts_wep_15.1.0,native,ts_wep_17.8.1,20260514,2026051400740,2026051400741,HD  92391,0.800000011920929,-0.801099956035614,26618.169921875,nan,nan,nan,1.1351755985312217,-88.9030761624568,111.50908157372324,-180.35928920645947,-6.0735252900325545,9.730569231118656,-1.1831115273191626,-56.85979869588186,-22.15231353666252,10.276940921453038,-7.507278948001093,-3.3256977485414576,-12.130825911654066,18.78426837679956,17.58349943597282,7.798129341027117,-4.524471585457923,-5.1088303871498,1.4255831071074803,31.42744486788655
ts_wep_15.1.0,native,ts_wep_17.8.1,20260515,2026051500800,2026051500801,HD 106703,0.800000011920929,-0.801099956035614,884.200927734375,nan,nan,nan,1.2253316420840465,264.685963309254,109.9569418854395,-136.72624805493572,14.25693839009686,22.03461353299485,-28.37140235921069,-47.285516767410485,9.975662167344558,8.739127510331272,-3.159566187957541,8.757738577032104,-0.23050680240334528,-0.3380965422247476,-0.4011546294070155,2.0484092321282135,3.796520862709526,8.875353364241944,-2.397846559842138,12.264524770551931
ts_wep_15.1.0,native,ts_wep_17.8.1,20260515,2026051500802,2026051500803,HD 106703,0.853665828704834,-0.747434139251709,761.202880859375,nan,nan,nan,1.1851570054366298,-25.645558780961334,24.55687918579849,-195.6588832851255,-22.386870056230855,10.58204351281762,17.61984894467641,-78.65050564394825,-24.983774201565517,17.64212769901693,14.368689514312784,26.23209777847615,-37.99733773652112,8.603218904827818,2.805333031124707,2.884160566195652,1.2971535528682563,-7.960466878245844,-0.11930157933968444,19.761847114207356
ts_wep_15.1.0,native,ts_wep_17.8.1,20260516,2026051600012,2026051600013,HD  98090,0.9109150767326355,-0.6901848912239075,19971.65234375,nan,nan,nan,1.2463290501096609,-68.83112431080687,107.54371822710259,-107.60647080842836,-2.5498754507322308,-54.060701112269356,-22.48797396190701,-68.03782361287969,-20.500546373371467,21.001206624828214,10.944083467726696,-21.536107631843564,-22.1815561501625,12.623953097777832,7.525673627703034,9.479863299486752,-0.7059337256901982,-5.5517009513869136,3.2191144419234323,20.038998080352062
ts_wep_15.1.0,native,ts_wep_17.8.1,20260517,2026051700160,2026051700161,HD  56042,0.800000011920929,-0.801099956035614,9982.0546875,nan,nan,nan,1.3672140098720456,154.49587292073596,199.2371107813092,-109.59167309508835,1.0504569916791822,32.06519666920306,7.616661676169402,-1.3628545380861545,-0.5152920539120752,2.8104125817980123,-11.612659221733995,-8.416689596127675,-5.789538210603803,4.488028447336113,-0.6611703494243351,-5.419724564409728,2.7423270823101538,-14.7405163705536,-3.570531734635844,11.44702799936215
ts_wep_15.1.0,native,ts_wep_17.8.1,20260517,2026051700162,2026051700163,HD  56042,0.8333187699317932,-0.7677811980247498,10155.80859375,nan,nan,nan,1.2308456809350856,32.92371037722492,191.44992637865445,-110.7116413038724,-8.507743709388278,1.7075354081711245,15.784700032661643,-34.0986434410598,-1.78925774540247,12.323626207752753,-3.7017061679264605,-12.228251246632794,12.152095409483294,3.1093172823611717,2.3128535281631817,-1.1377429098497363,-2.0984960298630586,-8.300131891452926,0.22893344179147682,17.203204632129484
ts_wep_15.1.0,native,ts_wep_17.8.1,20260518,2026051800325,2026051800326,HD  73116,0.800000011920929,-0.801099956035614,30790.220703125,nan,nan,nan,1.1665793129651612,-189.4948106793119,45.71079976415546,-204.19813233002245,45.4956612189613,9.749066058165244,-37.93765957998036,-10.791412089246457,-79.02644698316433,11.355706976755277,0.8804430923108268,28.66760355823763,-20.41329168886811,1.8602551653694075,-7.090888972001648,2.0063479084834372,3.8988643773880347,1.9681310699730383,-5.549348983952693,26.953102011140746
ts_wep_15.1.0,native,ts_wep_17.8.1,20260518,2026051800329,2026051800330,HD  73116,0.7678586840629578,-0.8332412838935852,31442.181640625,nan,nan,nan,1.1786371715445405,-26.08755897986972,35.72851210792119,-207.21981944720554,-30.30023075545942,-70.05921557149136,-23.146298384957525,-28.842111810371847,-77.66698518301946,16.03140618074947,10.11275129538743,23.26850364109154,-21.295489955166914,13.31216314619394,1.8147667982800981,-2.279147826959791,7.118630142410505,2.271635243487537,-3.6620280703128163,29.417800850976572
ts_wep_15.1.0,native,ts_wep_17.8.1,20260519,2026051900218,2026051900219,HD  74752,1.6011000871658325,1.1920928955078125e-07,98053.4375,nan,nan,nan,1.101298291930116,-439.96904282955904,-1433.7752706119197,1346.6485913262716,432.98191896470126,-773.7613501701653,-756.7851679318286,340.8249175840575,76.35119311141509,-298.28882686258845,315.98853486771395,28.65030249389821,-42.65563335189711,179.55772731563917,-130.09015932062871,-99.72593605955758,219.09932180261146,-53.961784249218766,42.51551218045625,50.976958380852395
ts_wep_15.1.0,native,ts_wep_17.8.1,20260519,2026051900220,2026051900221,HD  76183,2.402200222015381,0.8011001944541931,21068.3515625,nan,nan,nan,1.8180196066461634,21.287235580749226,-134.59647023925996,109.84571011541392,13.851523798528774,7.3440227232726665,25.064011880958073,-26.80678022407778,-9.737078993309657,-3.7973995079628384,6.606335076131835,-5.0325876952140405,-13.499408854266044,4.571296681595353,-2.2036094738677066,10.47013696322017,-7.7818048847720585,-9.822820802510579,-13.43513205654991,-23.13352591818111
