day_obs,intra,extra,target,program,band,focusz_intra,focusz_extra,nfev,cost,fwhm,success,res_extra,res_intra,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11
20260602,2026060200141,2026060200142,HD  85693,BLOCK-305,r,0.800000011920929,-0.801099956035614,21,2381.945368719191,1.7279283208807619,True,0.2813078538154692,0.23550235838987832,-16.557375864579832,91.46877693465319,-133.1399258487028,17.95999687374979,-0.4213963246313649,-66.54224636143003,-25.05850396129521,-36.94624742216007
20260611,2026061100014,2026061100015,HD 100975,BLOCK-305,white,0.8302059173583984,-0.7708940505981445,24,2554.1392062016594,1.6612077656435649,True,0.30937570959248173,0.20097308333253378,7.557754689615664,196.24814739314508,-78.79029639270374,-12.778217339231837,-2.8679440926416024,26.299830429663558,-18.444769872778433,-24.123204721993915
20260619,2026061900045,2026061900046,HD 114891,CWFS,white,0.800000011920929,-0.801099956035614,22,2851.436114605887,2.0016959463520916,True,0.33731420146255986,0.2689885669373222,14.729056506802406,54.218609312463414,-148.68475719477854,-20.259531682424814,38.74239306092125,-2.805396258924779,-53.25129634868919,-74.91231237688869
20260619,2026061900077,2026061900078,HD 115810,BLOCK-305,white,0.7547014355659485,-0.8463985323905945,24,2176.1313564208936,2.2052427883457226,True,0.29578255913211643,0.2437167993362006,-82.05910884638715,-80.88677492243612,-187.9280630140588,37.48299598776435,147.64468173955936,-43.64762705853095,-35.80393788277921,-48.86090445337776
20260623,2026062300370,2026062300371,HD 173657,BLOCK-T743,white,0.800000011920929,-0.801099956035614,24,2427.5271373567766,2.1247862978785106,True,0.27372190864182605,0.23269755664113495,123.52556879091861,80.53973011988545,-236.9744811564784,10.521608455245763,62.95611792017463,-28.85473977408452,-68.28138619971163,-104.14756154746121
20260624,2026062400357,2026062400358,HD 136550,BLOCK-T743,white,0.8209390044212341,-0.7801609635353088,24,2779.210408784335,1.9399020820594475,True,0.29354250502201074,0.2467064959088007,-69.17116942643285,126.0270202705498,-201.1477043493231,4.883039654829599,-60.65742369775227,-26.332754363140204,0.7431092653122174,-79.99553036465802
20260626,2026062600016,2026062600017,HD 104078,BLOCK-305,white,0.937556266784668,-0.663543701171875,31,3895.8129448048467,2.1904556802716244,True,0.3896895579297376,0.2742775038714199,-1152.520432746232,177.2094295123174,-1204.808723566874,11.370563700685748,97.28198570581974,57.766649800667835,264.60015744757067,142.96132993527794
20260626,2026062600185,2026062600186,HD 112722,CWFS,white,0.800000011920929,-0.801099956035614,22,2654.8963208131095,1.901629886406211,True,0.28693150604588286,0.20438067306847277,-52.748948115838274,114.74987926721725,-65.90963689393662,-2.8939745654135103,48.08083882364897,-3.854695249628224,15.059116869372833,-75.96399666545427
20260629,2026062900016,2026062900017,V* FZ Vir,BLOCK-305,white,1.160000205039978,-0.44109979271888733,20,10394.476668247094,2.4543593612085868,True,0.6679309262190289,0.9727490629924608,-327.24929351684875,-39.47253862519214,1230.918167043307,-11.542195184525752,-784.9801777399016,34.534825057231565,-594.7537668480089,292.0484893991908
20260629,2026062900680,2026062900681,HD    561,BLOCK-305,white,0.777314305305481,-0.823785662651062,22,2373.6076240749053,1.5164500310251183,True,0.2498895077599345,0.20273580678925776,-30.983980437686892,173.1819925922715,-237.20563237629202,-19.66430304442058,6.785500698453481,-50.102487688514174,-50.27816100626936,-18.51337118230895
20260701,2026070100133,2026070100134,HD 204061,CWFS,y,0.7992698550224304,-0.8018301129341125,22,3871.1400221332387,2.782462760367048,True,0.29189276950885995,0.23400984051915794,-58.16502731176806,158.28587797243864,-230.86214477131236,-34.20580257051444,-14.816347915226066,-45.41542547220898,-77.72008233454558,-4.36273101399013
20260707,2026070700013,2026070700014,HD 101730,BLOCK-305,y,0.8050192594528198,-0.7960807085037231,23,3347.317693004301,2.1533041102645973,True,0.3557718923879078,0.24887639618385496,-25.533076101538928,139.1654697940853,-140.52709588918353,-17.43147493294937,33.06251820126192,8.166734401452576,-4.174902478166792,-53.571286013690354
20260710,2026071000014,2026071000015,HD 108110,BLOCK-305,r,0.8562922477722168,-0.7448077201843262,22,2482.895800189834,2.0511628225619982,True,0.22650241168883517,0.18198593448946299,-119.72627114496551,101.14084100257254,-85.42142579493,12.976286162436494,11.805741097599745,-21.76348529516065,2.3609368485138242,3.532668765883224
