wep,mode,cut_by,day_obs,intra,extra,target,focusz_intra,focusz_extra,peak_extra,fit_success,nfev,chi_square,fwhm,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
ts_wep_15.1.0,native,ts_wep_17.8.1,20260602,2026060200141,2026060200142,HD  85693,0.800000011920929,-0.801099956035614,9512.2666015625,nan,nan,nan,1.1170372000535245,-1.9473190412337085,147.8987774017573,-118.61630249448869,20.154493657246704,-1.246212852702712,-36.73732619825227,-33.18792677732007,-38.36823522413532,7.763291047769164,-6.295513763779514,18.607350509765027,-6.445834650412175,9.260502483291392,-1.3247997153456768,4.495112953888196,10.984191890893868,6.020819850838238,-7.611107080987808,26.66228836810911
ts_wep_15.1.0,native,ts_wep_17.8.1,20260611,2026061100014,2026061100015,HD 100975,0.8302059173583984,-0.7708940505981445,42939.3203125,nan,nan,nan,1.1812470424046537,50.02338912256027,234.45156430499227,-96.26085740586257,4.95987822319025,0.05660063106931034,24.14430040105951,-22.858040352850946,-16.55850454124522,2.1874879647117185,-4.392090293481101,-15.296752227707021,-0.2510795697969672,2.1755642875279086,-1.71894245254964,-2.8073044385899553,-0.8421691026881785,-16.020107108586107,-1.7085310399337286,22.183738631676967
ts_wep_15.1.0,native,ts_wep_17.8.1,20260619,2026061900049,2026061900050,HD 114891,0.7958601713180542,-0.8052397966384888,87797.046875,nan,nan,nan,1.4218177007259143,-87.95923418844222,161.27771544780043,-161.73890961507752,-29.045325645887452,19.195907326856744,-14.612787047932288,-100.69871198604807,-100.87191442991109,18.195847900318817,-18.603466679784916,-13.645695424253175,-46.27263731825297,1.80005723824882,3.9200987837763956,18.524379696655046,-9.17263570059321,9.703858338304682,-28.544360697433294,29.417241552745185
ts_wep_15.1.0,native,ts_wep_17.8.1,20260621,2026062100013,2026062100014,HD 101980,0.8083563446998596,-0.7927436232566833,104600.1171875,nan,nan,nan,4.913943176642112,391.43942937569295,35.860536049534566,1204.9087782270028,37.27076907172974,-146.72239988658146,19.901704259326973,-83.89693982389062,-16.28113479106736,168.52007373460498,26.386367356505378,120.63140423113877,-24.22570948507106,1.2827694879885632,-1.3662282559021433,40.639289988228185,-2.85365543293881,104.55215289539387,35.063533671530074,44.75601890498256
ts_wep_15.1.0,native,ts_wep_17.8.1,20260623,2026062300483,2026062300484,HD 187605,0.800000011920929,-0.801099956035614,110222.390625,nan,nan,nan,1.4451801524050956,-127.57833973728201,22.90036532365365,-72.6993553838382,-33.334349286415474,38.454206326378845,-45.31958019603389,-42.38316083971879,-108.77149714133321,-3.4435389948188866,-3.090752938656484,3.446268325199472,-9.18004709614432,14.695737800990038,7.842130746693177,-0.520649876218901,6.845875178004765,4.222230583818466,-5.964121142384205,27.054248598816475
ts_wep_15.1.0,native,ts_wep_17.8.1,20260624,2026062400597,2026062400598,HD 198842,0.8022910952568054,-0.7988088726997375,82432.265625,nan,nan,nan,1.3640395245239783,-96.51551146335748,60.79421163692275,-139.19694880042027,5.547069659034255,4.457150541117503,-37.66803807367254,7.2615109671103335,-95.6302022094982,19.21197569882416,9.486774978811024,12.847209347469303,-18.120936305536436,-4.133737177367668,0.04478226445755993,-5.208725660769328,2.390318200215094,0.5813824884222839,1.2944383160643156,29.74497932828445
ts_wep_15.1.0,native,ts_wep_17.8.1,20260626,2026062600156,2026062600157,HD 127304,1.2800002098083496,-0.32109972834587097,94464.3515625,nan,nan,nan,1.328612393785031,-560.291579080406,-858.5596619021752,1648.6306366389929,-313.83879000061995,850.2568534888514,-329.18838062228895,55.960922505838354,113.94062904318922,-231.344708576138,-17.459837954462092,-173.85563862799717,602.4102413941245,-189.3308980724941,-3.608808308179099,-47.26364616181753,79.27832044417313,134.6907664838663,55.87572007085921,70.43567419027943
ts_wep_15.1.0,native,ts_wep_17.8.1,20260628,2026062800015,2026062800016,HD  94267,0.7878454327583313,-0.8132545351982117,60954.06640625,nan,nan,nan,1.2457482243589626,-26.375878046221132,163.16346882223726,-99.26223260733718,-1.7851906426629438,20.891837258633142,7.4837394547099825,-67.11857586498925,-99.7057868381486,-2.0323299449307632,1.4294260751825394,-17.797837241947878,-16.290391914421267,-9.454466739138276,10.664969456884409,6.529584352980513,3.0420405115605615,-3.785109990784599,-5.743129229682858,29.43096426531968
ts_wep_15.1.0,native,ts_wep_17.8.1,20260629,2026062900079,2026062900080,HD 113131,0.8120972514152527,-0.7890027165412903,1597.13232421875,nan,nan,nan,1.295103951432826,15.982766154688896,177.32610195589012,-211.97565395354684,8.140823496806162,-42.644314102108574,-29.04723318088791,-65.22073983916611,-48.57663225591779,11.395861587791973,-2.4603258836590656,10.265871194327824,-22.96955355342815,19.321151647100315,-3.450766439674476,5.592972558964952,9.918187678566786,3.026517906860845,-3.7249441347432906,26.46260153164404
ts_wep_15.1.0,native,ts_wep_17.8.1,20260701,2026070100126,2026070100127,HD 220815,0.7660382986068726,-0.8350616693496704,50140.71484375,nan,nan,nan,1.7947413198988886,-112.96217593245078,215.47607961513356,-44.14026553569067,-20.919465587811832,25.469519015365545,29.083193687858877,-41.590228045554774,-50.92811128480809,-14.788759037560457,-22.977706207898077,-73.62766787718688,-6.191121803127202,-5.214656081199294,2.9475051690567504,1.1934506221778616,0.7342238985898513,-19.622589232356393,-6.432471560235297,19.442513583123848
