wep,mode,cut_by,day_obs,intra,extra,target,focusz_intra,focusz_extra,peak_extra,fit_success,nfev,chi_square,fwhm,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260514,2026051400740,2026051400741,HD  92391,0.800000011920929,-0.801099956035614,26618.169921875,1.0,22.0,2153.414706637745,1.4940009647065144,-101.90355983829195,122.73024096446632,-171.13454684746347,-13.818761575234182,25.702975577517105,-19.802648707121694,-48.430113702619586,-12.558039894092152,11.005952926367797,-5.981071186568092,-36.747390823090406,0.36036837824418677,10.26609574226461,9.158887029929577,5.345943963663344,-0.9452401562417221,-3.184251405449017,-1.7422540164474893,35.56231552814105
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260515,2026051500800,2026051500801,HD 106703,0.800000011920929,-0.801099956035614,884.200927734375,1.0,24.0,2912.4997240611387,2.2917057289403795,188.9040493209995,6.751242741273834,-217.39565847509616,38.46997205267415,21.60328835784581,-74.77783933642779,-60.5527956265629,-14.053407548088314,26.127393836081755,6.185701313563836,-5.150101905911543,-15.7727364477657,7.396848952939918,-0.26559552011032006,7.678659352222798,11.185395652567276,-5.057236358614956,7.657889271527703,36.64943300808095
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260515,2026051500802,2026051500803,HD 106703,0.853665828704834,-0.747434139251709,761.202880859375,1.0,21.0,3700.232921061814,2.6734172117607704,-22.112844609998213,-2.725679877298955,-200.37923217706341,-44.62815444691438,44.28388366141375,-19.591197752030315,-33.30367742862661,-13.351784773960134,15.497920084704885,6.00578031838649,10.037485915185835,-30.278216302726157,-9.553661939770718,13.199395082339969,7.039014798460412,-10.921126676463588,-9.358326648382363,-20.322166447831176,34.84974772892702
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260516,2026051600012,2026051600013,HD  98090,0.9109150767326355,-0.6901848912239075,19971.65234375,1.0,21.0,2625.1697988862015,2.055697990640562,-94.22768616715747,38.3661911268846,-200.01321028348409,-15.346503710932407,-25.920998306062025,-6.320764274044371,-70.26268482903038,-10.035797559656471,33.16109826625818,5.538481330629708,-56.0106044831261,-2.146303149911803,14.99545970133087,8.611414423426718,4.276418240456221,-4.961596910033224,-15.03921713688782,7.205104399432493,35.880493475891285
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260517,2026051700160,2026051700161,HD  56042,0.800000011920929,-0.801099956035614,9982.0546875,1.0,23.0,2636.5586676159273,2.0601031647547385,108.59133089878696,179.48856541677844,-101.47019443143569,-30.054604382415484,23.385697831074154,2.6213712838159617,16.47403553933185,-26.997375755692296,-8.658216329831742,-15.69675604617571,-20.297990308499934,-2.8565895389552436,6.655994425453961,3.621047437106875,-4.097704302811757,4.78176695789559,-7.619511170194181,8.85319822214956,39.131103745537814
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260517,2026051700162,2026051700163,HD  56042,0.8333187699317932,-0.7677811980247498,10155.80859375,1.0,21.0,2861.394045620179,1.9189907657814724,-9.438463441473683,148.0012830422426,-126.26397202974317,-14.218595338446562,-29.51726769190217,15.438679895687393,-4.322890194583728,-5.600196330739151,11.829873176566961,-3.161945046465283,-40.15763931913394,-3.6498665593525343,10.621585043871782,-1.7779744264187047,-1.7643303506390609,-0.2956043413320319,7.503845795919981,4.491217146417902,36.235831845568285
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260518,2026051800325,2026051800326,HD  73116,0.800000011920929,-0.801099956035614,30790.220703125,1.0,22.0,2112.0431729311385,1.638070476913186,-140.69344815492312,54.659644007868614,-152.95988256205905,53.04083575745976,31.122269886752164,-58.171274514460585,23.98784641777042,-66.84924611439423,-10.57484484616873,1.4706918494171641,2.450641259585067,-22.778968744986972,-17.526838166463612,4.343590055586811,-3.194295320759524,6.959190469801268,5.062699886845411,-1.294573258638155,49.42075855305223
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260518,2026051800329,2026051800330,HD  73116,0.7678586840629578,-0.8332412838935852,31442.181640625,1.0,24.0,1997.8366459111983,1.7130572493164633,-15.26517859464443,113.65254781468316,-158.9976731899457,-17.63311774877096,-39.59362707236829,-34.24621333387654,-22.609663010775,-66.63063850742404,-4.613948288401271,-4.747206772131643,-3.170268789313205,1.5670819100749414,-3.2522765455111506,16.061592355321256,-6.988804187714615,5.042256373489819,-3.7934305175224567,2.9191857910447396,50.938592425019856
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260519,2026051900218,2026051900219,HD  74752,1.6011000871658325,1.1920928955078125e-07,98053.4375,1.0,17.0,10128.050584442266,2.9859694983288154,-291.57937067128887,-255.59254886546745,1713.252501851287,88.05340069346127,-434.34868568824464,-632.2293791524881,106.08881603291061,-160.55772329065795,-335.02171805937746,-10.433756437353665,-156.91095517845102,-46.684540293091416,195.49207199291567,-13.432560841818047,68.07843474292409,154.09754985549273,17.51423286945015,198.23780963583943,15.748540911149728
ts_wep_17.8.1,fixed,ts_wep_17.8.1,20260519,2026051900220,2026051900221,HD  76183,2.402200222015381,0.8011001944541931,21068.3515625,1.0,19.0,8822.470124045834,2.1330647518366943,-9.722398844163196,-77.8703106802382,113.67148320019388,2.90736328221487,-6.191006006398554,56.60993744391675,-32.59312140470108,-18.909937361968296,-15.678864243913388,5.535516082415564,-20.685876732334012,-10.337452154843634,1.8097545592174722,-10.40850272375729,5.5404994138370025,-9.414548930254826,-8.075152284328098,-3.3234329694620564,-26.5015878944447
