sweep,exposure,seq_num,focus_z,physical_filter,rms_px,fwhm_px,qfm_fwhm,peak
20260623_379-391,2026062300379,379,0.0254200510680676,empty~empty,14.260125335085691,33.5825951641268,1.4625233576722867,97032.349609375
20260623_379-391,2026062300380,380,0.0254450514912605,empty~empty,14.116854547376697,33.24519245907212,1.3264390066924088,97522.0478515625
20260623_379-391,2026062300381,381,0.0254700519144535,empty~empty,14.337561475665089,33.764957275191286,1.4118817649474789,100187.5029296875
20260623_379-391,2026062300382,382,0.0254850517958403,empty~empty,14.230890227010791,33.513746484610415,1.3233668024578922,101178.69775390625
20260623_379-391,2026062300383,383,0.0254950504750013,empty~empty,14.020865120097664,33.01913735783,1.3569715321522915,97460.634765625
20260623_379-391,2026062300384,384,0.0255100503563881,empty~empty,14.075386390951909,33.14753495069174,1.3288115880529834,101512.57177734375
20260623_379-391,2026062300385,385,0.0255200508981943,empty~empty,14.169386733609507,33.36890575765039,1.4032203855202683,98510.64990234375
20260623_379-391,2026062300386,386,0.0255300514400005,empty~empty,14.394041023810004,33.89796661107256,1.5476940097858511,100126.57690429688
20260623_379-391,2026062300387,387,0.0255450513213873,empty~empty,14.167273772018822,33.36392973310433,1.360723758864753,99014.70776367188
20260623_379-391,2026062300388,388,0.0255550518631935,empty~empty,14.22880976570694,33.50884699823984,1.5709851917832416,98799.46166992188
20260623_379-391,2026062300389,389,0.0255700517445803,empty~empty,14.017453231530306,33.01110236025387,1.3140767869315555,101170.8974609375
20260623_379-391,2026062300390,390,0.0255950503051281,empty~empty,14.212042031815416,33.46935898492531,1.5880817073524391,99446.44262695312
20260623_379-391,2026062300391,391,0.0256200507283211,empty~empty,14.197939033992954,33.43614642505341,1.6052307200680032,99820.31762695312
20260623_457-481,2026062300457,457,0.02542005106806755,empty~empty,8.936503446629581,21.045465616812663,1.454695609733246,57917.45799255371
20260623_457-481,2026062300458,458,0.02544505149126053,empty~empty,9.11235961437413,21.459606891851077,1.4309767257140962,57956.92842102051
20260623_457-481,2026062300459,459,0.025470051914453506,empty~empty,8.859907433297098,20.865082005414664,1.3734499788092513,61999.48252868652
20260623_457-481,2026062300460,460,0.025485051795840263,empty~empty,8.75490585113573,20.617803279424642,1.3903503865854727,60314.834396362305
